n,r,m
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Boron Nitridane27.8})"
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Fluorinated-Gallium Nitridane27.8,property_value: 16.7})"
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Fluorinated-Boron Nitridane27.8,property_value: -0.58})"
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Aluminum Nitridane27.8,property_value: -0.32})"
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Fluorinated-Aluminum Nitridane27.8,property_value: 182})"
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Fluorinated-Boron Nitridane21.8,property_value: -0.21})"
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Hydrogenated/Fluorinated-Gallium Nitridane27.8,property_value: -2.76})"
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Hydrogenated/Fluorinated-Boron Nitridane21.8,property_value: 0.4})"
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Hydrogenated/Fluorinated-Boron Nitridane27.8,property_value: -0.08})"
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:MENTIONS],"(:Composition {property_unit: pm/V,composition: Gallium Nitridane27.8,property_value: 0.43})"
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:HAS_KEYWORD],(:Keyword {name: 2D nitride layers})
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:HAS_KEYWORD],(:Keyword {name: Moiré nitridanes})
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:HAS_KEYWORD],(:Keyword {name: Twistronics})
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:HAS_KEYWORD],(:Keyword {name: Moiré pattern})
"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Author {name: Aleksey Kochaev,affiliation_id: 60068673})",[:AFFILIATED_WITH],"(:Affiliation {country: Russian Federation,name: National Research Nuclear University MEPhI,affiliation_id: 60068673})"
"(:Author {name: Aleksey Kochaev,affiliation_id: 60068673})",[:WROTE],"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})"
"(:Author {name: Mikhail Maslov,affiliation_id: 60068673})",[:AFFILIATED_WITH],"(:Affiliation {country: Russian Federation,name: National Research Nuclear University MEPhI,affiliation_id: 60068673})"
"(:Author {name: Mikhail Maslov,affiliation_id: 60068673})",[:WROTE],"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})"
"(:Author {name: Konstantin Katin,affiliation_id: 60068673})",[:AFFILIATED_WITH],"(:Affiliation {country: Russian Federation,name: National Research Nuclear University MEPhI,affiliation_id: 60068673})"
"(:Author {name: Konstantin Katin,affiliation_id: 60068673})",[:WROTE],"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})"
"(:Author {name: Leonid Chernozatonskii,affiliation_id: 60096196})",[:AFFILIATED_WITH],"(:Affiliation {country: Russian Federation,name: Emanuel Institute of Biochemical Physics, Russian Academy of Sciences,affiliation_id: 60096196})"
"(:Author {name: Leonid Chernozatonskii,affiliation_id: 60096196})",[:WROTE],"(:Paper {journal: Computational Materials Science,year: 2025,title: On piezoelectricity in Moiré nitridanes,isOpenAccess: false,doi: 10.1016/j.commatsci.2024.113589})"
"(:Composition {property_unit: pm/V,composition: Boron Nitridane21.8,property_value: -0.11})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Composition {property_unit: pm/V,composition: Hydrogenated/Fluorinated-Aluminum Nitridane27.8,property_value: -31.6})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Composition {property_unit: pm/V,composition: Boron Nitridane27.8})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Composition {property_unit: pm/V,composition: Fluorinated-Gallium Nitridane27.8,property_value: 16.7})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Composition {property_unit: pm/V,composition: Fluorinated-Boron Nitridane27.8,property_value: -0.58})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Composition {property_unit: pm/V,composition: Aluminum Nitridane27.8,property_value: -0.32})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Composition {property_unit: pm/V,composition: Fluorinated-Aluminum Nitridane27.8,property_value: 182})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Composition {property_unit: pm/V,composition: Fluorinated-Boron Nitridane21.8,property_value: -0.21})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Composition {property_unit: pm/V,composition: Hydrogenated/Fluorinated-Gallium Nitridane27.8,property_value: -2.76})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Composition {property_unit: pm/V,composition: Hydrogenated/Fluorinated-Boron Nitridane21.8,property_value: 0.4})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Composition {property_unit: pm/V,composition: Hydrogenated/Fluorinated-Boron Nitridane27.8,property_value: -0.08})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Composition {property_unit: pm/V,composition: Gallium Nitridane27.8,property_value: 0.43})",[:BELONGS_TO],(:Family {name: Nitridanes})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USES_METHOD],(:Method {name: Ceramic Injection Molding (CIM)})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Raw materials were weighed according to the nominal composition and ground in a ball mill for 12 h.
- The powders were calcined at 900 °C for 2 h and then ball milled again.
- After drying, the polyvinyl alcohol solution (PVA, 8 wt%) as a binder was added to the calcined powders and mixed well to form granulated powders.
- The granulated powders were compressed into pellets with 10 mm in diameter and 0.85 mm in thickness.
- The PVA was removed by holding the pellets at 550 °C for 4 h.
- The polycrystalline ceramics were prepared by sintering at 1140 °C for 2 h.
- The standard 0.6 mm thick ceramic samples were obtained by double-sided grinding.
- Electrodes were made of firing gold pastes at 850 °C for 10 min.})"
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:BELONGS_TO_FAMILY],(:Family {name: CaBi2Nb2O9})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: Ca0.94(NaCe)0.03Bi2Nb1.97(W0.75Mn0.25)0.03O9,property_value: 17.2})"
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9,property_value: 6})"
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_PRECURSOR],(:Precursor {name: Nb2O5})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_PRECURSOR],(:Precursor {name: BaCO3})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_PRECURSOR],(:Precursor {name: Bi2O3})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_PRECURSOR],(:Precursor {name: CeO2})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_PRECURSOR],(:Precursor {name: WO3})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: High-temperature resistivity test system})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: SEM})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Raman spectroscopy})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Quasi-static d33 meter})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Impedance analyzer})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: PFM})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: EPR})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:HAS_KEYWORD],(:Keyword {name: Machine learning})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:HAS_KEYWORD],(:Keyword {name: CaBi2Nb2O9})
"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})",[:HAS_KEYWORD],(:Keyword {name: Thermal stability})
"(:Author {name: Ailin Li,affiliation_id: 60003970})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Zhejiang University,affiliation_id: 60003970})"
"(:Author {name: Ailin Li,affiliation_id: 60003970})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})"
"(:Author {name: Chengwen Bin,affiliation_id: 60003970})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Zhejiang University,affiliation_id: 60003970})"
"(:Author {name: Chengwen Bin,affiliation_id: 60003970})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})"
"(:Author {name: Xu Hou,affiliation_id: 60008928})",[:AFFILIATED_WITH],"(:Affiliation {country: Hong Kong,name: The Hong Kong Polytechnic University,affiliation_id: 60008928})"
"(:Author {name: Xu Hou,affiliation_id: 60008928})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})"
"(:Author {name: Luocheng Liao,affiliation_id: 60028739})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Xiangtan University,affiliation_id: 60028739})"
"(:Author {name: Luocheng Liao,affiliation_id: 60028739})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})"
"(:Author {name: Yunya Liu,affiliation_id: 60028739})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Xiangtan University,affiliation_id: 60028739})"
"(:Author {name: Yunya Liu,affiliation_id: 60028739})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})"
"(:Author {name: Bo Wang,affiliation_id: 126229242})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Ltd.,affiliation_id: 126229242})"
"(:Author {name: Bo Wang,affiliation_id: 126229242})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})"
"(:Author {name: Jie Wang,affiliation_id: 60003970})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Zhejiang University,affiliation_id: 60003970})"
"(:Author {name: Jie Wang,affiliation_id: 60003970})",[:WROTE],"(:Paper {journal: Ceramics International,year: 2025,title: Machine learning-assisted design of CaBi2Nb2O9-based ceramics with high piezoelectricity and thermal stability,isOpenAccess: false,doi: 10.1016/j.ceramint.2024.11.449})"
"(:Composition {property_unit: pC/N,composition: Ca0.94(NaCe)0.03Bi2Nb1.97(W0.75Mn0.25)0.03O9,property_value: 17.2})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USES_METHOD],(:Method {name: solid-state reaction})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Weighing constituents according to stoichiometric ratios
- Ball-milling for 24 h
- Calcination at 850 °C for 3 h
- Granulation and pressing into disks
- Sintering in sealed crucible at 1120 °C for 4 h})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:BELONGS_TO_FAMILY],(:Family {name: CaBi2Nb2O9})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: High piezoelectricity and thermal stability of Ce-doped CaBi2Nb2O9-based high-temperature ceramics,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.116955})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: Ca0.6(Li0.5Bi0.5)0.4Bi2-0.40.2Ce0.40.2Nb2O9})"
